run_id,evaluation_scope,true_label,batch,stream_id,source_path,source_bytes,source_sha256,source_manifest_path,source_manifest_sha256,windows
test-ood-F4-r01,ood,F4,1,71075,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F4-r01.csv,3819454,39f67e5f9fa4fe1f034b0f0b3e33aceabe8299266b1ea55fb6221d23eaefafbb,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F4-r01.manifest.json,376d045bcf71de7e39fa6a432f9838457afa758e3220744ee34b0c22eb393871,8
test-ood-F4-r02,ood,F4,2,71076,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F4-r02.csv,3820158,196c48a082e194653982cba05505847a77c1b7894e347d64ccf6e636295d8a68,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F4-r02.manifest.json,38b4cf766229ae7fd6d665fe9966e84140cd96e5d3e3cafc7cfb2c84670f8e92,8
test-ood-F4-r03,ood,F4,3,71077,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F4-r03.csv,3819355,ca013d7923d05fb35bba6c76b13a9e220ac05030482df74fa386e14f3959a633,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F4-r03.manifest.json,3446555b61646081df8dc8e2a9681cb9469cc6e3a119db89fa6fa0067afbe96a,8
test-ood-F5-r01,ood,F5,1,71072,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F5-r01.csv,3819417,c35e63c7ea58ff7b11743d4e2d5c25ca862001cedbe675cc6cde5f36bf1aa091,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F5-r01.manifest.json,2beca36012fd7c8b119b9a9dd2d9e30dea92e7bd49fafcc2511f38ed9b6721a2,8
test-ood-F5-r02,ood,F5,2,71073,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F5-r02.csv,3819420,6bb89b968bb87ce32a5066df783ff18ffb7fbe11dbabd3ce913860f37f687a81,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F5-r02.manifest.json,85edb1b0b1b5459098cda7aea58ab40d286f1cfb94dac6dbbf8189091a6844f4,8
test-ood-F5-r03,ood,F5,3,71074,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F5-r03.csv,3819163,15b92f817982ca7e645490c36865f8aa4f444b3002751ff117d5d12221a4a2bd,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-ood-F5-r03.manifest.json,124c3d8250aec720b29822274b3c279aff80d76400c36257aa4bb172be735666,8
test-primary-F1-r01,primary,F1,1,71000,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-primary-F1-r01.csv,3817680,1594701d813f1a85baedf73371bda11f4a5e72bcdb25293e1806cbcf00c8bdf0,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-primary-F1-r01.manifest.json,c18378bb87fe872ef77d943cda5994158108c627bff62d2a04e73a5e16bd3a48,8
test-primary-F1-r02,primary,F1,2,71001,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-primary-F1-r02.csv,3817728,f9c6a50031afbf0ddcd919f05576f6d2809126ba30326076f533d610478e83f3,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-primary-F1-r02.manifest.json,0b66fec9b626789c1cc1ffd8741ba2082d7ec2ab32a2b06bd9753a73029b6b06,8
test-primary-F1-r03,primary,F1,3,71002,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-primary-F1-r03.csv,3817742,a76959418ae410d7b4ffec8c3f3027ffc36ed467bdf45ff83cbf63af7d706e97,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-primary-F1-r03.manifest.json,d0166b88390543ce3aea054ef700e3557e6fd54a77114f6ab18b367417141041,8
test-primary-F1-r04,primary,F1,4,71003,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-primary-F1-r04.csv,3817722,61259d1a9774f480769192d3737cfcb33e986bf51684f60a5527caadc97f73eb,/Users/luker/fot-tep-wt-0311/studio2/fase03/fault_runs/test_batch/test_batch_f5_001/test-primary-F1-r04.manifest.json,c753c06b2f6a58b7abce5ea0bb81099c517ff123add1cb470b94224762f04862,8
