normal_window_id,normal_block,window_in_block,window_start_h,window_end_h,max_abs_shift,max_abs_slope,max_residual_ratio,max_diff_ratio,max_raw_std_ratio,level_candidate,trend_candidate,residual_candidate,diff_candidate,rapid_variability_candidate,any_anomaly
1,N1,1,0.0,5.0,0.42743057756252734,0.3847410369740441,1.1085915426465318,1.237605200440601,1.108559633599169,False,False,False,False,False,False
2,N1,2,5.0,10.0,0.7180747359634378,0.49218103383000184,1.3089826812512766,1.2361836546744587,1.4882941335221496,False,False,False,False,False,False
3,N1,3,10.0,15.0,0.48392271592030156,0.391200194139376,1.0941778502423962,1.194638501435544,1.0857974134585495,False,False,False,False,False,False
4,N1,4,15.0,20.0,0.5490992627507162,0.40330904339527013,1.1076584559902756,1.146770545362325,1.1942088076886572,False,False,False,False,False,False
5,N1,5,20.0,25.0,0.6167981591549075,0.429444694910382,1.1246640634149407,1.2186260235725628,1.1319037536881904,False,False,False,False,False,False
6,N1,6,25.0,30.0,0.8097648413163924,0.5409316078185933,1.158195647342405,1.1511407813070471,1.2275979928860745,False,False,False,False,False,False
7,N1,7,30.0,35.0,0.4731714558586247,0.4481005811031747,1.0978351451300938,1.1522669511034764,1.1195481769978972,False,False,False,False,False,False
8,N1,8,35.0,40.0,0.4650630799654381,0.5423791560762221,1.3681613543196571,1.1952710607403216,1.390726070746281,False,False,False,False,False,False
9,N1,9,40.0,45.0,0.598759815510341,0.6354647213378205,1.2195567137017227,1.3582911757699418,1.2409185914960823,False,False,False,False,False,False
10,N1,10,45.0,50.0,0.5987462166597209,0.2798597327146099,1.4574926572101479,1.4051245046201666,1.5106571895981669,False,False,True,False,False,True
11,N2,1,50.0,55.0,0.9955756782472939,0.295959435738939,1.281829947425998,1.2286967119963264,1.3009959942690676,False,False,False,False,False,False
12,N2,2,55.0,60.0,0.9298939192063025,0.3771258940673608,1.1765423955857786,1.2501582428928595,1.180649455416025,False,False,False,False,False,False
13,N2,3,60.0,65.0,0.5364762477777322,0.20379673988508298,1.0805472757558325,1.300023191007029,1.0726193898199299,False,False,False,False,False,False
14,N2,4,65.0,70.0,0.7038308607228659,0.2806544409264889,1.0558260821812209,1.183115456037952,1.0850890264294966,False,False,False,False,False,False
15,N2,5,70.0,75.0,0.8273275225964191,0.6087503160045965,1.0770862083007764,1.2550263392179133,1.1123382100869157,False,False,False,False,False,False
16,N2,6,75.0,80.0,0.9711641383131081,0.3090084676853192,1.1493661159815605,1.1476790055406247,1.149708415812634,False,False,False,False,False,False
17,N2,7,80.0,85.0,0.7144935910763697,0.3101532809392988,1.0876128888598677,1.2114866119954402,1.1280492168605722,False,False,False,False,False,False
18,N2,8,85.0,90.0,1.5988379030092623,0.5526594184152407,1.2381845252417265,1.3282674725536765,1.3502243243800232,False,False,False,False,False,False
19,N2,9,90.0,95.0,0.5906808567289149,0.5295531154924574,1.156495435311684,1.2032444061407124,1.2085159630385593,False,False,False,False,False,False
20,N2,10,95.0,100.0,2.0050511992352518,0.3296855008371522,1.2166143502442701,1.2882156853530353,1.2192865796717283,True,False,False,False,False,True
21,N3,1,100.0,105.0,0.8192101779593705,0.4560051305734937,1.186650288255842,1.1900423756474632,1.1763154252663812,False,False,False,False,False,False
22,N3,2,105.0,110.0,1.1214191652939638,0.44724384154526,1.2537675096607301,1.2915364040573531,1.2658046301782573,False,False,False,False,False,False
23,N3,3,110.0,115.0,1.0859299267904592,0.6558590491268094,1.1679608382600362,1.345233214835594,1.200829738873772,False,False,False,False,False,False
24,N3,4,115.0,120.0,0.8842486675609972,0.3585475140964561,1.1226131621392252,1.1326067869690308,1.1703176852777681,False,False,False,False,False,False
25,N3,5,120.0,125.0,0.620130603717872,0.4119115597655945,1.1841788179308035,1.3411089445498592,1.1954038216227283,False,False,False,False,False,False
26,N3,6,125.0,130.0,0.5721770686794545,0.25543651352417235,1.2479169091995088,1.3739779322759529,1.2473357732299712,False,False,False,False,False,False
27,N3,7,130.0,135.0,0.47198472710346684,0.3515663811452308,1.2958858536124587,1.2508031932518742,1.294790377760571,False,False,False,False,False,False
28,N3,8,135.0,140.0,1.2688185320140528,0.43796291125183334,1.1807375377406912,1.2548115427614348,1.1699148886800732,False,False,False,False,False,False
29,N3,9,140.0,145.0,0.4450608205217929,0.46784864795161435,1.2919857464441005,1.3527628343846,1.2915833048540137,False,False,False,False,False,False
30,N3,10,145.0,150.0,0.37547195727730687,0.34254200551922287,1.2378084308802453,1.2335564994436556,1.259956255026849,False,False,False,False,False,False
31,N4,1,150.0,155.0,0.7255912374159114,0.32537620803749767,1.170326151876156,1.356751091239388,1.170033264655301,False,False,False,False,False,False
32,N4,2,155.0,160.0,0.9503415073423026,0.49251260712207096,1.2715205808854377,1.1199883568868152,1.2715179568288473,False,False,False,False,False,False
33,N4,3,160.0,165.0,1.165715960665507,0.7468621213669596,1.1572958744275341,1.143423735870451,1.2629272306602755,False,False,False,False,False,False
34,N4,4,165.0,170.0,1.2466133625895257,0.5433085648728634,1.33624812758245,1.2868635091245058,1.3411151291773409,False,False,False,False,False,False
35,N4,5,170.0,175.0,0.3622768093334654,0.2391120617369579,1.107572233649415,1.3078701364190273,1.1239966595896353,False,False,False,False,False,False
36,N4,6,175.0,180.0,0.5873051971864633,0.6652395438875581,1.092135931394862,1.1884402368358087,1.1914207127392191,False,False,False,False,False,False
37,N4,7,180.0,185.0,1.1425127945346596,0.3381300951968963,1.2636398989278248,1.3070683499857918,1.2536021882609678,False,False,False,False,False,False
38,N4,8,185.0,190.0,1.1555681390452543,0.792484592797937,1.1455409673065324,1.4730447895404528,1.3161432098959631,False,True,False,True,False,True
39,N4,9,190.0,195.0,1.9695333234149084,0.528920691644449,1.1538411369332207,1.3326393250249682,1.1533106195295797,False,False,False,False,False,False
40,N4,10,195.0,200.0,0.7429468275403492,0.5341630427698268,1.224848569228154,1.1857547516464029,1.3543099531833411,False,False,False,False,False,False
41,N5,1,200.0,205.0,0.9339289809880119,0.5802549972490703,1.1415305718367978,1.2557810107452876,1.1401006105334064,False,False,False,False,False,False
42,N5,2,205.0,210.0,0.9754545737472216,0.4692782693964229,1.2595508851603296,1.2334419457037027,1.2599406981047172,False,False,False,False,False,False
43,N5,3,210.0,215.0,0.5090079772582609,0.3257387457355918,1.2095734808060865,1.2040812962352505,1.2868211459486494,False,False,False,False,False,False
44,N5,4,215.0,220.0,0.764391592980637,0.2332238303377449,1.058316257498301,1.1062297329236965,1.057842932917403,False,False,False,False,False,False
45,N5,5,220.0,225.0,0.5551175526459684,0.3824747825763992,1.1898240589084963,1.2483042667423672,1.1786086003419007,False,False,False,False,False,False
46,N5,6,225.0,230.0,0.4713817253842688,0.3843845695697428,1.2260027933803255,1.3673491795998896,1.2558749214679266,False,False,False,False,False,False
47,N5,7,230.0,235.0,0.4234060958335124,0.3451973639736929,1.1696714832888986,1.1912831932989298,1.1833485872863347,False,False,False,False,False,False
