fault,batch,window_start_h,window_end_h,variable,shift_sigma,abs_shift_sigma,slope_sigma_h,abs_slope_sigma_h,raw_std_ratio,diff_std_ratio,residual_std_ratio
1,1,10.0,15.0,XMEAS-1,76.67353831016274,76.67353831016274,31.153280989078283,31.153280989078283,46.303017658141066,1.3068055814879473,10.785177887482043
1,1,10.0,15.0,XMEAS-2,0.14931981781511927,0.14931981781511927,0.4163915900270227,0.4163915900270227,1.1532723222940995,1.0011956645385016,0.99074746291466
1,1,10.0,15.0,XMEAS-3,1.7260434266536877,1.7260434266536877,0.8219599773088907,0.8219599773088907,1.6725423602400535,1.0036667747432695,1.1867225859740664
1,1,10.0,15.0,XMEAS-4,-9.313737334239926,9.313737334239926,-3.4389740223446856,3.4389740223446856,5.181058902354117,0.9771528227260313,1.457608428193337
1,1,10.0,15.0,XMEAS-5,-7.926441942099795,7.926441942099795,-0.3543925172034472,0.3543925172034472,3.18016009495277,0.9895717423603176,3.1442192539835045
1,1,10.0,15.0,XMEAS-6,-7.273253283759389,7.273253283759389,-0.10120873237099613,0.10120873237099613,3.0323111189790946,1.0228192870110475,3.032848520041934
1,1,10.0,15.0,XMEAS-7,-8.086658078143142,8.086658078143142,-8.564653173122686,8.564653173122686,13.285654848674353,1.0181224458663218,4.814719077091009
1,1,10.0,15.0,XMEAS-8,1.1490464644852658,1.1490464644852658,-0.004959850356123739,0.004959850356123739,1.3898552988077286,1.0788275305503345,1.390683107214776
1,1,10.0,15.0,XMEAS-9,0.14726400330459702,0.14726400330459702,0.402443129909199,0.402443129909199,1.2316911131371298,0.9320451921363258,1.0858306894489034
1,1,10.0,15.0,XMEAS-10,3.868657231619516,3.868657231619516,-9.642778544232979,9.642778544232979,19.284330988432384,1.8476269283027313,13.338329899979579
1,1,10.0,15.0,XMEAS-11,-22.607354324452334,22.607354324452334,-8.349173978684112,8.349173978684112,13.064586482483403,0.9871948783144404,5.082161774177855
1,1,10.0,15.0,XMEAS-12,-0.10895528675508388,0.10895528675508388,1.74526291359631,1.74526291359631,3.754696778296432,1.074252197968227,2.78272009141441
1,1,10.0,15.0,XMEAS-13,-8.055512943820466,8.055512943820466,-8.61329576466559,8.61329576466559,13.332309658310729,1.057261549230893,4.761993834796209
1,1,10.0,15.0,XMEAS-14,-0.14873649749513826,0.14873649749513826,1.6892605042193825,1.6892605042193825,3.6726478837634184,1.0409291215159115,2.748054024336703
1,1,10.0,15.0,XMEAS-15,-6.435546873569598,6.435546873569598,-2.9499798519402103,2.9499798519402103,6.007813277281083,0.9318936034533497,4.2335982926600915
1,1,10.0,15.0,XMEAS-16,-7.829224687107313,7.829224687107313,-8.662450998215096,8.662450998215096,13.42788455823903,1.0718326036527046,4.843612797612831
1,1,10.0,15.0,XMEAS-17,-0.8479147909473375,0.8479147909473375,-0.40532749009027447,0.40532749009027447,1.1956163048212265,0.9217619401395849,1.0430562211191892
1,1,10.0,15.0,XMEAS-18,-20.422366397889487,20.422366397889487,-5.9786686045672335,5.9786686045672335,10.528650509785301,1.261089640750687,6.260495469637208
1,1,10.0,15.0,XMEAS-19,0.06669301422475538,0.06669301422475538,0.006357414810195286,0.006357414810195286,0.9690397645634538,0.9974724384230974,0.9693747082943222
1,1,10.0,15.0,XMEAS-20,-36.40255028878524,36.40255028878524,-2.243943511562271,2.243943511562271,13.53146913968106,1.089392687852406,13.5426701331603
1,1,10.0,15.0,XMEAS-21,7.148425019571761,7.148425019571761,-6.386338185647942,6.386338185647942,12.524350526555606,0.9664846701056441,8.647455782221346
1,1,10.0,15.0,XMEAS-22,-19.422789712362892,19.422789712362892,-5.024620732935745,5.024620732935745,8.56262283705947,1.0188369369567873,4.583502636790757
1,1,10.0,15.0,XMEAS-23,-13.326007688946513,13.326007688946513,-0.557954241645499,0.557954241645499,5.622428889127553,1.1807912162408827,5.568294913949933
1,1,10.0,15.0,XMEAS-24,-10.007367953498159,10.007367953498159,-2.761141343776284,2.761141343776284,5.969849640910311,0.9704330328904022,4.470651107357945
1,1,10.0,15.0,XMEAS-25,15.238489599238086,15.238489599238086,1.1848766662105212,1.1848766662105212,6.653976494508953,1.0026566733069386,6.432551073976679
1,1,10.0,15.0,XMEAS-26,2.4955575972586583,2.4955575972586583,0.5517163823820099,0.5517163823820099,1.7236093293396058,1.2024476090078398,1.536918647776145
1,1,10.0,15.0,XMEAS-27,4.273623015878325,4.273623015878325,1.5138295352495987,1.5138295352495987,2.579482616986502,0.9060496657533855,1.3683208999284906
