normal_block,variable,shift_sigma,abs_shift_sigma,slope_sigma_h,abs_slope_sigma_h,raw_std_ratio,diff_std_ratio,residual_std_ratio
1,XMEAS-1,0.01534895548013973,0.01534895548013973,-0.005199595100147385,0.005199595100147385,1.0190804486963911,1.0009101516728973,1.0212290340311447
1,XMEAS-2,-0.19057718659282205,0.19057718659282205,0.0017754762772575626,0.0017754762772575626,0.9820803901872139,0.9942887834359697,0.9868536199860302
1,XMEAS-3,0.14691000305786667,0.14691000305786667,-0.0031316736351797497,0.0031316736351797497,1.0115981301470789,1.0118630922656302,1.018707705613335
1,XMEAS-4,-0.020878034278873397,0.020878034278873397,0.0013205010287695583,0.0013205010287695583,1.0142513905919788,1.0262124956755367,1.0145852934845567
1,XMEAS-5,0.011686448168386638,0.011686448168386638,-0.0007126603532652653,0.0007126603532652653,0.9844929292269751,0.9981169682183052,0.9865983808850155
1,XMEAS-6,0.0012552506404089265,0.0012552506404089265,-0.0009456955556747007,0.0009456955556747007,0.9977021191368485,1.005678863094892,0.9992601031689925
1,XMEAS-7,0.00905620054678929,0.00905620054678929,-0.0006976395184030635,0.0006976395184030635,1.009436217424354,1.0026854895904564,1.0094095498638262
1,XMEAS-8,0.04971694145015483,0.04971694145015483,0.000702798355894721,0.000702798355894721,0.9790875294515248,0.9753927913917807,0.9795193259344779
1,XMEAS-9,0.019058118674524747,0.019058118674524747,0.00029102944528202446,0.00029102944528202446,0.9851638383317431,0.9926075112711464,0.9853805570841757
1,XMEAS-10,0.014015872674706015,0.014015872674706015,0.00048059762690611223,0.00048059762690611223,1.1058456520898945,1.0168710486353054,1.1073662385170604
1,XMEAS-11,-0.03347254458867253,0.03347254458867253,-0.0017999450696445452,0.0017999450696445452,0.913034522726479,1.0228415528900303,0.9313092699427022
1,XMEAS-12,-0.029415503120441215,0.029415503120441215,0.002166362380872299,0.002166362380872299,1.0115024521366056,1.0085138906339854,1.0118459024353836
1,XMEAS-13,-0.0018804598436682044,0.0018804598436682044,9.885830875510393e-05,9.885830875510393e-05,1.006984427751177,1.0157563182980462,1.007022828867406
1,XMEAS-14,0.026203890264177142,0.026203890264177142,0.001567923043031144,0.001567923043031144,0.9938136368559093,0.990504762760587,0.99575085574709
1,XMEAS-15,-0.03618888374155867,0.03618888374155867,0.0029484122194914065,0.0029484122194914065,1.037799754775014,1.0152558380537262,1.037287936310908
1,XMEAS-16,0.017311779536524734,0.017311779536524734,-0.0001433919308199712,0.0001433919308199712,1.0190458057868157,1.0241648920584803,1.0190915379450536
1,XMEAS-17,-0.009692356858110018,0.009692356858110018,-0.0004404773132247094,0.0004404773132247094,0.99599662146738,0.9940322807642662,0.9970377796060285
1,XMEAS-18,-0.03678684951721755,0.03678684951721755,-0.0018233923116934482,0.0018233923116934482,0.6910093446294369,0.9976868060723307,0.722614616538576
1,XMEAS-19,0.038298735570921776,0.038298735570921776,-0.0009536061813798347,0.0009536061813798347,0.9969855395392951,0.9939998615767133,0.997206806251438
1,XMEAS-20,0.02055911349390081,0.02055911349390081,-0.003575748031023299,0.003575748031023299,0.7701139008593165,1.0151739574362637,0.7955131720056129
1,XMEAS-21,0.26903354078813096,0.26903354078813096,-0.004488271354207004,0.004488271354207004,0.9853023013274526,1.0089713009106296,1.0022929788102755
1,XMEAS-22,-0.0012589303474845072,0.0012589303474845072,-0.001921717168951636,0.001921717168951636,0.9319319879160205,1.0036113655071244,0.9441709870867696
1,XMEAS-23,0.024618965575577374,0.024618965575577374,0.0003635927396043167,0.0003635927396043167,0.9891622784059207,0.9787360178229153,0.9899781018778214
1,XMEAS-24,-0.15843645237786777,0.15843645237786777,0.006020437826943327,0.006020437826943327,0.9151314946999977,0.9223051091972869,0.9157358435262937
1,XMEAS-25,0.004353658964555588,0.004353658964555588,0.0010034289322552645,0.0010034289322552645,1.0097899195393991,1.0179154804912502,1.010223301796172
1,XMEAS-26,-0.02437926006576261,0.02437926006576261,0.003157401521863017,0.003157401521863017,0.9068858623256434,0.8887192328377059,0.9118812415853956
1,XMEAS-27,0.06463916019605832,0.06463916019605832,-0.0025612403089667075,0.0025612403089667075,0.9811836318978981,0.979527458299563,0.982784283012549
1,XMEAS-28,0.053687378986042915,0.053687378986042915,-0.0010837345368254585,0.0010837345368254585,0.9410527035806999,0.9209375545705469,0.9506207364798169
1,XMEAS-29,-0.01086919471202216,0.01086919471202216,0.0005285126521070164,0.0005285126521070164,0.9495464968296156,0.9907979411478116,0.9561875259809492
1,XMEAS-30,-0.08210875551047768,0.08210875551047768,-0.0029595135682080184,0.0029595135682080184,0.9206473087991803,0.9579651493858534,0.9280452203003171
1,XMEAS-31,0.016803261235349747,0.016803261235349747,0.0025857635924364884,0.0025857635924364884,0.9169568742476588,0.9986260947586945,0.9196945614096679
1,XMEAS-32,0.00809241151451359,0.00809241151451359,0.001813120162939572,0.001813120162939572,0.9743368863044781,0.965804766374034,0.9747163346788719
1,XMEAS-33,-0.04023261684642119,0.04023261684642119,0.0006528162876241537,0.0006528162876241537,0.9811917458728897,1.0244454104891516,0.9837949335658056
1,XMEAS-34,0.031135689115631023,0.031135689115631023,0.00013054987069228643,0.00013054987069228643,0.9380743621128413,0.968634696820156,0.9553177876801101
1,XMEAS-35,-0.11526098160066942,0.11526098160066942,0.003432379328891847,0.003432379328891847,1.0380000123603017,1.034566181245631,1.0449079262621506
1,XMEAS-36,-0.05149991809953395,0.05149991809953395,-0.0015031380805007623,0.0015031380805007623,0.9683066620993974,1.0167898322446414,0.9704149578978644
1,XMEAS-37,-0.1658008102567847,0.1658008102567847,0.002473239292844611,0.002473239292844611,1.008879638877027,0.9734906211308166,1.0143316596972982
