fault,batch,variable,shift_sigma,abs_shift_sigma,slope_sigma_h,abs_slope_sigma_h,raw_std_ratio,diff_std_ratio,residual_std_ratio
1,1,XMEAS-1,84.63276386989925,84.63276386989925,0.10888444364423602,0.10888444364423602,19.5532760078445,1.1860013755677683,19.599039147270002
1,1,XMEAS-2,-0.35842422419837117,0.35842422419837117,0.0009323656709695729,0.0009323656709695729,1.1418419985640762,1.013920992404893,1.1499980819268647
1,1,XMEAS-3,0.1801353025266465,0.1801353025266465,-0.026574159047352938,0.026574159047352938,1.33279734340251,1.014169890350955,1.3077673433245327
1,1,XMEAS-4,-10.008477261835312,10.008477261835312,-0.014595878477367081,0.014595878477367081,2.3179098535901415,1.0147759452321978,2.3128659048824307
1,1,XMEAS-5,-0.8546987712529145,0.8546987712529145,0.12085827513165408,0.12085827513165408,3.246342182006769,1.0071556367525483,2.936167374038358
1,1,XMEAS-6,-0.9286884333167423,0.9286884333167423,0.10369157318553693,0.10369157318553693,2.9899686374157053,1.032423968503838,2.743338874189511
1,1,XMEAS-7,-1.9685543354441348,1.9685543354441348,0.21896061543878348,0.21896061543878348,7.85667114857062,1.0405674422105025,7.438818415098049
1,1,XMEAS-8,0.0317976088341044,0.0317976088341044,-0.0038611799679455633,0.0038611799679455633,1.3266029762144067,1.0211703826344098,1.3266605807790033
1,1,XMEAS-9,-0.00020124566974313166,0.00020124566974313166,-0.0004990760299816357,0.0004990760299816357,1.0500871746879414,1.0116966769784672,1.0502974974091168
1,1,XMEAS-10,-0.8414170929634269,0.8414170929634269,-0.0489310596281782,0.0489310596281782,8.380420700703644,1.1836992270566018,8.37043688060491
1,1,XMEAS-11,-1.545908313553414,1.545908313553414,0.3449367712418549,0.3449367712418549,10.436659703759679,1.016169887476776,9.810241457870086
1,1,XMEAS-12,-0.02971389429931297,0.02971389429931297,-0.0030974963726581447,0.0030974963726581447,2.266852924635841,1.0135844313324915,2.2684241673950525
1,1,XMEAS-13,-1.9150751979641674,1.9150751979641674,0.21627525720363525,0.21627525720363525,7.839718971308199,1.0275011803701914,7.431381585566254
