time_h,idv_mask,feed_a_pct,feed_b_pct,feed_c_pct,d_feed_temp,c_feed_temp,reactor_cw_temp,condenser_cw_temp,kinetic_r1,kinetic_r2,reactor_valve_command,condenser_valve_command,reactor_valve_position,condenser_valve_position
0.0,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,41.105812072753906,18.11349105834961,35.944588369409736,12.209547880014606
0.016666666666666666,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,36.069354094207554,10.626667833705545,35.926963607868714,12.021331482524117
0.03333333333333333,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.900062214790076,10.958184256388655,35.90826784578583,12.165677606669263
0.049999999999999996,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.92337519955843,14.134122084247444,35.97576092651877,14.167049947887003
0.06666666666666667,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.92658304143982,10.834138353568928,35.91084770152573,11.776919159536943
0.08333333333333333,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.77116983256891,9.9702383088858,35.813578809769325,11.626627074949702
0.09999999999999999,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.94209748845818,13.302089780270467,35.963811366646,12.931590557201568
0.11666666666666667,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.80984389845322,11.299858880161889,36.02915077900326,12.444627924524069
0.13333333333333333,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.93877879502208,13.129137528530894,35.94076701278001,12.808604477829002
0.15,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.714805348159196,16.06079258852042,35.898827692857544,12.602207815630997
0.16666666666666666,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,36.078377490275145,13.433951625633233,35.99967312016208,12.224935979244668
0.18333333333333332,0.0,48.5,0.5,51.0,45.0,45.0,35.0,40.0,1.0,1.0,35.842932759210285,11.37188054104075,35.94412724191684,11.678510096361771
