run_id,stream_id,J,S
cal_thr-001,40000,1,9.917075948279189
cal_thr-002,40001,8,5.9469061632621845
cal_thr-003,40002,9,8.838277572777468
cal_thr-004,40003,2,7.311925552800682
cal_thr-005,40004,5,7.916668977188887
cal_thr-006,40005,10,7.140999737251609
cal_thr-007,40006,5,6.991689520830908
cal_thr-008,40007,6,5.442175290617908
cal_thr-009,40008,7,8.054492607114492
cal_thr-010,40009,7,5.809823403487576
cal_thr-011,40010,5,7.863379751732453
cal_thr-012,40011,5,7.892009952732231
cal_thr-013,40012,4,6.842974192725231
cal_thr-014,40013,3,15.212840931667788
cal_thr-015,40014,7,5.089341004626157
cal_thr-016,40015,5,8.773964677393867
cal_thr-017,40016,5,10.429428879234274
cal_thr-018,40017,1,6.7996554677563585
cal_thr-019,40018,1,7.643978298713178
cal_thr-020,40019,2,7.308648282341531
cal_thr-021,40020,8,5.903246872974838
cal_thr-022,40021,3,5.71500819940748
cal_thr-023,40022,9,12.819289831294007
cal_thr-024,40023,8,6.658945797173293
cal_thr-025,40024,1,7.581631613427645
cal_thr-026,40025,1,9.542608942337583
cal_thr-027,40026,8,9.561184444211872
cal_thr-028,40027,1,12.048198371193994
cal_thr-029,40028,8,7.590724459829903
cal_thr-030,40029,10,6.232619599943922
cal_thr-031,40030,8,12.078256278013553
cal_thr-032,40031,7,11.57855533391135
cal_thr-033,40032,6,4.005708408227869
cal_thr-034,40033,10,6.793332731543328
cal_thr-035,40034,6,11.333638397659787
cal_thr-036,40035,10,8.494868048080615
cal_thr-037,40036,10,11.269718300284723
cal_thr-038,40037,5,6.564062744735877
cal_thr-039,40038,7,9.090035801405932
cal_thr-040,40039,8,7.630239621031215
cal_thr-041,40040,2,10.533433287180822
cal_thr-042,40041,2,7.350716558936125
cal_thr-043,40042,8,8.388564080809045
cal_thr-044,40043,1,9.261948000155106
cal_thr-045,40044,7,9.390235309468483
cal_thr-046,40045,7,6.482419474298412
cal_thr-047,40046,7,5.54786456399723
cal_thr-048,40047,10,7.533342495345049
cal_thr-049,40048,6,11.511570186752683
cal_thr-050,40049,5,6.329721590754496
cal_thr-051,40050,5,7.1345379274630405
cal_thr-052,40051,6,5.328168148069385
cal_thr-053,40052,7,6.865733753858641
cal_thr-054,40053,9,11.290590183147827
cal_thr-055,40054,10,8.418358570390058
cal_thr-056,40055,8,13.30617538188153
cal_thr-057,40056,5,6.716330431811718
cal_thr-058,40057,7,8.274119882164493
cal_thr-059,40058,3,8.624781217448765
cal_thr-060,40059,1,5.067698781845936
cal_thr-061,40060,3,5.896325092849721
cal_thr-062,40061,10,7.276823297870931
cal_thr-063,40062,10,11.524634140985606
cal_thr-064,40063,10,7.2328346368646805
cal_thr-065,40064,7,8.915325922596029
cal_thr-066,40065,1,8.380596718863778
cal_thr-067,40066,6,5.2943510584934375
cal_thr-068,40067,9,7.638815027861559
cal_thr-069,40068,4,11.96351025448954
cal_thr-070,40069,8,4.4715601642425815
cal_thr-071,40070,1,13.623626738268857
cal_thr-072,40071,4,12.263221096235686
cal_thr-073,40072,10,7.787265238955646
cal_thr-074,40073,3,8.47816701826732
cal_thr-075,40074,6,4.77709435707442
cal_thr-076,40075,3,4.816897190919059
cal_thr-077,40076,9,7.436677404984898
cal_thr-078,40077,3,6.881548745362129
cal_thr-079,40078,9,11.796730184920213
cal_thr-080,40079,5,14.150538490987948
cal_thr-081,40080,5,14.408654335123803
cal_thr-082,40081,2,8.447426590275478
cal_thr-083,40082,4,7.69848917337211
cal_thr-084,40083,5,8.415677734184996
cal_thr-085,40084,7,7.160977896015467
cal_thr-086,40085,1,8.682952102515424
cal_thr-087,40086,4,9.142915460073581
cal_thr-088,40087,5,11.830890195449157
cal_thr-089,40088,8,8.3699884056464
cal_thr-090,40089,1,6.415136663254616
cal_thr-091,40090,10,5.983117012096084
cal_thr-092,40091,1,7.207057743226342
cal_thr-093,40092,9,11.752775132552047
cal_thr-094,40093,1,15.352043684976262
cal_thr-095,40094,4,9.806667299736352
cal_thr-096,40095,8,10.401304490871706
cal_thr-097,40096,5,5.780924136591778
cal_thr-098,40097,8,10.787006542363097
cal_thr-099,40098,8,8.392495033667698
cal_thr-100,40099,10,8.999019403787686
cal_thr-101,40100,4,8.034266765407603
cal_thr-102,40101,8,9.2852180700268
cal_thr-103,40102,2,6.016150283564245
cal_thr-104,40103,8,5.826335767712516
cal_thr-105,40104,6,15.476225125045765
cal_thr-106,40105,4,8.035337666285221
cal_thr-107,40106,1,14.140212805048696
cal_thr-108,40107,10,7.619208544199472
cal_thr-109,40108,4,9.550629493854455
cal_thr-110,40109,4,4.915587539271334
cal_thr-111,40110,8,8.922173544024767
cal_thr-112,40111,3,9.091014253243477
cal_thr-113,40112,6,6.222929865660825
cal_thr-114,40113,8,11.975488968035767
cal_thr-115,40114,7,10.223424924164808
cal_thr-116,40115,5,6.984774250159359
cal_thr-117,40116,10,17.218442524038746
cal_thr-118,40117,8,7.407786664712253
cal_thr-119,40118,7,9.32005760393571
cal_thr-120,40119,8,8.950201785992848
cal_thr-121,40120,5,7.512187185394388
cal_thr-122,40121,2,8.617119765628736
cal_thr-123,40122,2,5.7073327100233024
cal_thr-124,40123,10,7.981878835051405
cal_thr-125,40124,7,5.265069601392356
cal_thr-126,40125,7,12.448102345324855
cal_thr-127,40126,6,10.412886293222456
cal_thr-128,40127,7,8.531025040152604
cal_thr-129,40128,2,5.371355050820842
cal_thr-130,40129,5,5.217480939321126
cal_thr-131,40130,10,10.840850377738375
cal_thr-132,40131,9,10.744566648955855
cal_thr-133,40132,10,5.562967136583918
cal_thr-134,40133,8,12.750405496873679
cal_thr-135,40134,2,9.611197969769803
cal_thr-136,40135,1,8.864229156789985
cal_thr-137,40136,8,12.438539386011335
cal_thr-138,40137,3,13.79899643732984
cal_thr-139,40138,2,7.842992800806631
cal_thr-140,40139,8,10.110036689759049
cal_thr-141,40140,7,7.001772412390933
cal_thr-142,40141,7,11.357653958907516
cal_thr-143,40142,4,5.025898298244081
cal_thr-144,40143,4,8.357868133565232
cal_thr-145,40144,6,8.514518619305152
cal_thr-146,40145,9,7.988462863284346
cal_thr-147,40146,3,6.979339032425048
cal_thr-148,40147,6,9.98706186687076
cal_thr-149,40148,3,7.775923038179729
cal_thr-150,40149,7,9.715938223734467
cal_thr-151,40150,7,8.176574068323516
cal_thr-152,40151,7,5.545944185718341
cal_thr-153,40152,7,9.800725756491616
cal_thr-154,40153,4,6.576316337624797
cal_thr-155,40154,3,10.260769841310225
cal_thr-156,40155,5,9.98922833994334
cal_thr-157,40156,7,5.412740515512203
cal_thr-158,40157,7,7.249377192024985
cal_thr-159,40158,2,6.205292219009592
cal_thr-160,40159,2,4.625876308599379
cal_thr-161,40160,6,7.911599414479865
cal_thr-162,40161,2,5.653809654228345
cal_thr-163,40162,3,8.351139050643917
cal_thr-164,40163,6,6.46747433318901
cal_thr-165,40164,4,12.659805662053758
cal_thr-166,40165,10,13.410107523293684
cal_thr-167,40166,8,7.88957561288261
cal_thr-168,40167,3,4.863053194059664
cal_thr-169,40168,7,5.892706960555762
cal_thr-170,40169,2,12.997928754880512
cal_thr-171,40170,10,6.63603428776696
cal_thr-172,40171,4,8.607541681902713
cal_thr-173,40172,4,6.530559147222795
cal_thr-174,40173,6,6.550705439828861
cal_thr-175,40174,3,9.84504165519817
cal_thr-176,40175,6,9.702884390837431
cal_thr-177,40176,2,7.292559059398453
cal_thr-178,40177,4,4.013735654205524
cal_thr-179,40178,10,5.646023084618518
cal_thr-180,40179,9,5.915045465669687
cal_thr-181,40180,4,9.159797076360896
cal_thr-182,40181,7,9.786000495424112
cal_thr-183,40182,9,7.766089948209322
cal_thr-184,40183,2,9.626644451570382
cal_thr-185,40184,5,7.94269972614181
cal_thr-186,40185,5,10.509812960463298
cal_thr-187,40186,7,7.164403676323929
cal_thr-188,40187,6,10.737479910927137
cal_thr-189,40188,5,5.991508126951859
cal_thr-190,40189,10,6.76651340440446
cal_thr-191,40190,1,6.985634821526297
cal_thr-192,40191,9,5.24306688452499
cal_thr-193,40192,10,8.339657218022179
cal_thr-194,40193,4,19.166284070910447
cal_thr-195,40194,6,6.733384539661251
cal_thr-196,40195,3,6.14837493205739
cal_thr-197,40196,6,6.641588001829184
cal_thr-198,40197,9,7.990157996042467
cal_thr-199,40198,10,5.943670864857447
cal_thr-200,40199,9,8.475686794948823
cal_thr-201,40200,1,6.349558726738705
cal_thr-202,40201,5,6.277056119466194
cal_thr-203,40202,3,9.04001033144205
cal_thr-204,40203,7,9.81291631810126
cal_thr-205,40204,3,13.777142203317748
cal_thr-206,40205,8,7.856746925012395
cal_thr-207,40206,6,5.694627448988714
cal_thr-208,40207,1,10.263778789672791
cal_thr-209,40208,6,10.928796764814722
cal_thr-210,40209,3,5.8570151618542585
cal_thr-211,40210,9,6.468581596043633
cal_thr-212,40211,10,14.872848171653475
cal_thr-213,40212,2,9.160279712379161
cal_thr-214,40213,10,6.675953873903515
cal_thr-215,40214,7,11.777943475915738
cal_thr-216,40215,8,10.465824693950221
cal_thr-217,40216,7,7.7761325975936595
cal_thr-218,40217,10,9.610240995695914
cal_thr-219,40218,9,10.11809968348511
cal_thr-220,40219,5,5.469115042771556
cal_thr-221,40220,6,7.907176295029507
cal_thr-222,40221,6,6.0351688215895996
cal_thr-223,40222,7,7.859979568835785
cal_thr-224,40223,3,4.282507192790742
cal_thr-225,40224,1,9.533331283493736
cal_thr-226,40225,9,8.584491632467358
cal_thr-227,40226,5,6.744516389059889
cal_thr-228,40227,5,5.726258479905444
cal_thr-229,40228,8,4.840032312505978
cal_thr-230,40229,9,6.244206502905404
cal_thr-231,40230,3,5.749891453932773
cal_thr-232,40231,2,7.715366501705646
cal_thr-233,40232,6,4.181024676445724
cal_thr-234,40233,7,8.005675147213138
cal_thr-235,40234,1,4.417737037848663
cal_thr-236,40235,10,5.694933177227801
cal_thr-237,40236,10,8.294862217432625
cal_thr-238,40237,3,7.9044349671584735
cal_thr-239,40238,9,4.880622193719183
cal_thr-240,40239,9,14.04148946175002
cal_thr-241,40240,10,5.068635689030565
cal_thr-242,40241,2,8.959661364174616
cal_thr-243,40242,2,8.117294721694604
cal_thr-244,40243,9,9.150737285525574
cal_thr-245,40244,6,8.872172986988357
cal_thr-246,40245,2,8.021913375088392
cal_thr-247,40246,8,5.379437499260224
cal_thr-248,40247,6,6.763011567623153
cal_thr-249,40248,6,11.375022003537975
cal_thr-250,40249,5,5.475541046496868
cal_thr-251,40250,5,8.476534358355003
cal_thr-252,40251,5,5.413268554467099
cal_thr-253,40252,4,7.891168050957437
cal_thr-254,40253,9,9.688330274099894
cal_thr-255,40254,5,5.147527678488268
cal_thr-256,40255,7,9.195031083545048
cal_thr-257,40256,4,11.606897636493425
cal_thr-258,40257,3,10.011435254080986
cal_thr-259,40258,9,5.224488952323412
cal_thr-260,40259,7,6.423755259905138
cal_thr-261,40260,4,6.669194619709664
cal_thr-262,40261,9,7.568965784571469
cal_thr-263,40262,5,11.913286917528922
cal_thr-264,40263,6,5.295643548989384
cal_thr-265,40264,3,4.433024963411808
cal_thr-266,40265,7,4.18626524710065
cal_thr-267,40266,8,8.135349584127102
cal_thr-268,40267,10,5.34566613460016
cal_thr-269,40268,2,8.522448262052214
cal_thr-270,40269,3,8.414767587938524
cal_thr-271,40270,7,7.308074689883173
cal_thr-272,40271,5,7.6269064353637175
cal_thr-273,40272,5,9.233522810581288
cal_thr-274,40273,8,10.056728229885014
cal_thr-275,40274,6,5.374576545971541
cal_thr-276,40275,2,5.749766953027781
cal_thr-277,40276,5,5.60429047110545
cal_thr-278,40277,8,5.082139024272683
cal_thr-279,40278,4,8.993476992662174
cal_thr-280,40279,1,6.754052527342927
cal_thr-281,40280,4,5.976085843743086
cal_thr-282,40281,4,9.414727240109793
cal_thr-283,40282,9,16.140179234614155
cal_thr-284,40283,10,5.507114343153858
cal_thr-285,40284,1,4.3916186207713315
cal_thr-286,40285,9,9.099371331362034
cal_thr-287,40286,10,9.969492630787142
cal_thr-288,40287,8,5.9427960688626875
cal_thr-289,40288,7,8.220769933951576
cal_thr-290,40289,7,8.957431524807907
cal_thr-291,40290,4,8.944538371824951
cal_thr-292,40291,1,10.241134752944184
cal_thr-293,40292,2,6.643892173773991
cal_thr-294,40293,8,5.5767389393375
cal_thr-295,40294,10,6.329290533062248
cal_thr-296,40295,9,11.205174353466951
cal_thr-297,40296,9,8.66661126599337
cal_thr-298,40297,6,7.001668665175618
cal_thr-299,40298,8,14.208737218829068
cal_thr-300,40299,5,9.403807063957023
cal_thr-301,40300,6,7.53562782960793
cal_thr-302,40301,6,8.311593520801898
cal_thr-303,40302,9,5.563079635000686
cal_thr-304,40303,5,11.480027314627494
cal_thr-305,40304,1,9.91425892197789
cal_thr-306,40305,10,6.95060780118813
cal_thr-307,40306,6,7.1212196880788055
cal_thr-308,40307,8,8.736669903403754
cal_thr-309,40308,7,6.139317141639542
cal_thr-310,40309,10,5.631778868513914
cal_thr-311,40310,10,12.00308949162012
cal_thr-312,40311,2,11.194382635216277
cal_thr-313,40312,1,8.1040442087562
cal_thr-314,40313,3,6.121637326399358
cal_thr-315,40314,4,10.15699707073428
cal_thr-316,40315,9,10.421570466115925
cal_thr-317,40316,3,11.483877723067042
cal_thr-318,40317,6,7.134684845528918
cal_thr-319,40318,8,11.514698159146064
cal_thr-320,40319,7,15.188418982581206
cal_thr-321,40320,10,12.159728639992101
cal_thr-322,40321,9,5.975480048370423
cal_thr-323,40322,6,11.529188589130001
cal_thr-324,40323,8,15.117414468689757
cal_thr-325,40324,7,7.089827938030811
cal_thr-326,40325,3,11.122488394561111
cal_thr-327,40326,4,5.475688559209884
cal_thr-328,40327,1,9.75300366229998
cal_thr-329,40328,8,5.216191087726415
cal_thr-330,40329,1,8.662302784688798
cal_thr-331,40330,4,9.5236621924879
cal_thr-332,40331,6,6.601986521223139
cal_thr-333,40332,2,8.531770783382308
cal_thr-334,40333,3,8.917311371527894
cal_thr-335,40334,5,7.366660008778633
cal_thr-336,40335,3,3.448586360254103
cal_thr-337,40336,1,10.350104640226592
cal_thr-338,40337,9,6.444311466629874
cal_thr-339,40338,3,5.966334961566544
cal_thr-340,40339,7,10.56447787161709
cal_thr-341,40340,6,7.181967573468405
cal_thr-342,40341,6,4.875974235182084
cal_thr-343,40342,7,10.66900203859087
cal_thr-344,40343,2,4.136492431966139
cal_thr-345,40344,2,8.306186101651566
cal_thr-346,40345,10,6.8133928544554285
cal_thr-347,40346,1,10.0237724394593
cal_thr-348,40347,4,8.03032470867873
cal_thr-349,40348,9,4.561644186644586
cal_thr-350,40349,9,6.351319266765435
